id,split,ticket_text,drafted_intent,drafted_urgency,drafted_escalate,drafted_escalation_reasons,why_selected,in_random_block,drafter_note,CORRECTED_intent,CORRECTED_urgency,CORRECTED_escalate,CORRECTED_escalation_reasons,reviewer_note
hl-0005,test,assistance to make a customer claim,feedback_and_complaint,low,false,,drafter disagreed with Bitext intent,false,"“Customer claim” is most plausibly a request for a remedy or refund, but it could alternatively refer to an unspecified product issue.",,,,,Confirmed against the brief; no change.
hl-0009,dev,i xepect a refund of £439,returns_and_refunds,normal,true,refund_over_threshold,"escalation (rare, high-leverage)",false,"This is a refund request for £439, which exceeds the £100 escalation threshold.",,,,,Confirmed against the brief; no change.
hl-0013,dev,assistance seeing the early exit charges,returns_and_refunds,low,false,,drafter flagged uncertain,false,"This appears to ask about cancellation fees, though “early exit charges” could reasonably refer to an unclear billing query.",,,,,Confirmed against the brief; no change.
hl-0015,dev,"Could you confirm the status of my refund for order 50902 please. I've read that if it isn't resolved within eight weeks I can take it to the ombudsman, and we're at week six now.",returns_and_refunds,normal,true,legal_or_chargeback_threat,random control,true,"This is a request to chase a refund already in progress, and mention of taking the matter to an ombudsman requires escalation.",,,,,"Confirmed. Ombudsman named, so legal_or_chargeback_threat; no figure stated, so the threshold reason correctly does not apply."
hl-0016,dev,would it be possible to sign up to the newsletter?,marketing_preferences,low,false,,random control,true,This is a routine request to subscribe to the newsletter.,,,,,Confirmed against the brief; no change.
hl-0023,test,how can I get information about premium account removals?,account_management,low,true,out_of_scope,random control,true,"“Premium account removals” could mean deleting an account, but premium accounts are not part of Hearth & Loom’s stated offering, making an out-of-scope reading defensible.",,,false,,"Not out of scope: asking how to remove an account is account_management, which the draft itself assigned. A tier name absent from the brief does not put a customer's account question outside the support team's remit."
hl-0035,dev,wanna  use the premium profile help me,account_management,low,false,,random control,true,"This appears to ask about using or switching to a premium profile, but it could also be an out-of-scope request because premium profiles are not described in the brief.",,,,,Confirmed against the brief; no change.
hl-0050,test,"Just to let you know, the table lamp from order 50441 gets extremely hot after about twenty minutes and there was a burning smell yesterday. I've unplugged it and put it in the garage. Not after a refund, just thought someone should know.",product_issue,high,true,product_safety,authored hard case,false,"The overheating lamp and burning smell indicate a potential electrical fire hazard, requiring product-safety escalation.",,,,,"Confirmed. Overheating with a burning smell is product_safety and high even though the customer asks for nothing, exactly as the brief instructs."
hl-0054,test,"I need to cancel order 52310 please, I only placed it an hour ago and I've realised I ordered the wrong size rug. Also I think I've been charged twice, there are two pending amounts on my card for £64.99 each.",order_management,high,false,,authored hard case,false,"The primary ask is to cancel the order before it may dispatch, creating a time-boxed high-urgency request; the duplicate pending-card-charge concern is secondary.",,,,,Confirmed against the brief; no change.
hl-0059,test,assistance to use the premium profile,account_management,low,false,,drafter flagged uncertain,false,"This appears to request help using a premium account profile, but it could be an out-of-scope feature or a login/access issue without further context.",,,,,Confirmed against the brief; no change.
