id,split,ticket_text,drafted_intent,drafted_urgency,drafted_escalate,drafted_escalation_reasons,why_selected,in_random_block,drafter_note,CORRECTED_intent,CORRECTED_urgency,CORRECTED_escalate,CORRECTED_escalation_reasons,reviewer_note
hl-0018,dev,what do i need to do to get my bills from Callum Reid,billing_and_payment,low,false,,random control,true,"This appears to be a request for bills from an unrelated person, though it could be a vague request for a Hearth & Loom invoice.",,,,,Confirmed after the sweep dropped the out_of_scope escalation. 'Bills' is an invoice request; a personal name in the ticket is not grounds for out_of_scope (brief v2 §3).
hl-0020,test,status of order,delivery_and_shipping,normal,false,,random control,true,"A request for an order's status is a delivery-and-shipping query, and no time-critical or escalation trigger is stated.",,,,,"Confirmed. Blocked on the status of goods already paid for; matches hl-0028, hl-0086, hl-0212, all normal."
hl-0022,dev,"I need to see your reimbusrement policy, how to do it?",returns_and_refunds,low,false,,random control,true,"This is an informational question about the refund/reimbursement process, with no stated time pressure or escalation trigger.",,,,,"Confirmed. Refund policy question, informational."
hl-0025,test,i try to download bill #37777,billing_and_payment,low,false,,random control,true,"The customer is requesting access to a bill or invoice copy, which is a routine billing request.",,,,,"Confirmed. Invoice download, administrative."
hl-0027,dev,I try to notify of an error with online payments,billing_and_payment,normal,false,,random control,true,"This appears to report an online payment error, but the wording is too vague to determine whether it is a routine payment failure or a potentially consequential payment problem.",,,,,Confirmed. A payment being attempted and failing is billing_and_payment under brief v2 §3; the customer is blocked.
hl-0044,test,i dont knowwhat to do to submit some feedback for a product,feedback_and_complaint,low,false,,random control,true,"The customer is asking how to provide product feedback, with no operational issue or time-sensitive consequence.",,,,,Confirmed. Unsolicited product feedback with no other ask.
hl-0046,test,I'm chasing a boiler service that was booked for the 14th and nobody came. The engineer was supposed to call ahead. This is the second missed appointment. Reference HB-20119.,out_of_scope,normal,true,out_of_scope,random control,true,"A missed boiler-service appointment is not a Hearth & Loom support request, so it is out of scope and requires escalation.",,,,,"Left as drafted. I read it as low (H&L can do nothing, so nothing worsens by waiting) and the three other out_of_scope tickets are all low, but this one has a real customer with a real service failure and the brief says nothing about urgency on out-of-scope tickets. A genuine coin-flip, so the draft stands (D-010). Logged as a brief gap."
hl-0049,test,help talking  with a live agent,human_agent_request,low,false,,random control,true,"The customer explicitly asks to speak with a live agent, with no time-sensitive issue stated.",,,,,Confirmed.
hl-0058,dev,I want assistance creating a premium account for my fiance,account_management,low,false,,random control,true,"The customer is asking for help creating an account, which is an administrative request.",,,,,"Confirmed. 'Premium' is an unfamiliar tier name, which brief v2 §3 says is not grounds for out_of_scope."
hl-0064,test,i want help to check how soon can i expect my order,delivery_and_shipping,low,false,,random control,true,This is an informational request about expected delivery timing with no indication of a delayed order or time-sensitive consequence.,,,,,"Confirmed, and my blind label was the wrong one. I first read it as normal by analogy with hl-0093, but 4 of the 5 delivery_period tickets are low and the brief's normal example turns on the order being late. Nothing here is late. hl-0093 is the outlier and has been corrected instead."
hl-0080,dev,cfan you help me speak to customer service?,human_agent_request,low,false,,random control,true,"The customer explicitly asks to speak to customer service, with no time-sensitive issue stated.",,,,,Confirmed.
hl-0081,test,I want to inform of a sign-up error,account_access,low,false,,random control,true,"A sign-up error is a registration problem, which falls under account access, with no indication of time-sensitive harm.",,,,,"Confirmed. Sign-up failure blocks nothing owed or paid for, so low; matches the nine other registration tickets."
hl-0083,dev,getting invoice from three purchases ago,billing_and_payment,low,false,,random control,true,"The customer is requesting an invoice for a prior purchase, which is an administrative billing request.",,,,,Confirmed.
hl-0123,test,i want assistance to cancel order 50521,order_management,high,false,,random control,true,"This is a request to cancel an order, but it gives no indication that dispatch is imminent.",,,,,Confirmed after the sweep. Cancellation of a named live order is the pre-dispatch window (brief v2 §4).
hl-0129,dev,I want help to enter another delivery address,delivery_and_shipping,low,false,,random control,true,The customer is asking to set or change a delivery address without indicating a time-sensitive existing order.,,,,,"Confirmed. Adding a second address presupposes no live order, so it is administrative (brief v2 §4)."
hl-0134,dev,I need help to talk to a person,human_agent_request,low,false,,random control,true,"The customer explicitly asks to speak to a person, with no indication of urgency or an escalation trigger.",,,,,Confirmed.
